Agency - Agency,Commodity - Commodity,Supplier - Common Supplier,Ordered Date,PO #,PO amount
DEPARTMENT OF BEHAVIORAL HEALTH,"9104847:LOCKSMITH SERVICES. TRIP CHARGE, 16-30 MILE RADIUS (VENDOR PROVIDES TOOLS AND TRANSPORTATION)",EMERGENCY 911 SECURITY,18-Nov-14,PO505907-V2,180
DEPARTMENT OF CORRECTIONS,"2018693:UNDERWEAR, THERMAL, WOMEN'S, CIRCULAR KNIT, 50% POLYESTER, 50% COTTON",AMERICAN SUPPLY COMPANY,23-Dec-14,PO513304,377
DEPARTMENT OF EMPLOYMENT SERVICES,9625800:Professional Services (Not Otherwise Classified),Covenant House Washington,5-Feb-15,PO514526,"3,600.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),CARECO MENTAL HEALTH SERVICE I,30-Jan-15,PO506200-V3,"67,238.82"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),Maggie McBryde,30-Oct-14,PO505929-V2,"88,908.53"
DEPARTMENT OF YOUTH REHABILITATION SVCS,9622400:Courier/Delivery Services (Including Air Courier Services),FEDERAL EXPRESS,25-Nov-14,PO511394,"5,000.00"
DEPARTMENT OF YOUTH REHABILITATION SVCS,9187400:Legal Consulting,"JEROME H. ROSS, LTD.",31-Oct-14,PO509079,"5,002.50"
DEPARTMENT OF PARKS AND RECREATION,9625800:Professional Services (Not Otherwise Classified),Blue Ridge Transportation Serv,21-Nov-14,PO511067,"8,350.00"
DEPARTMENT OF HEALTH,9484800:Health Care Services (Not Otherwise Classified),FAMILY MEDICAL COUNSELING,1-Oct-14,PO505446,"66,666.50"
DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",Q-MATIC CORPORATION,27-Feb-15,PO511565-V2,"3,634.01"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",SOCIAL ART AND CULTURE,14-Nov-14,PO510368,"10,500.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",Sarah Ewing,16-Dec-14,PO512780,"3,800.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",MOLLY SPRINGFIELD,22-Oct-14,PO507937,"10,000.00"
DC PUBLIC LIBRARY,"4206429:CHAIRS, CONFERENCE OR SIDE, WOOD",HERMAN MILLER INC,4-Dec-14,PO508769-V3,150
DC PUBLIC LIBRARY,"2086775:SOFTWARE, MICROCOMPUTER, SUBSCRIPTIONS",APPLE COMPUTER INC,20-Nov-14,PO510894,"2,999.80"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8051500:Athletic Awards (For Service Type See Class 080): Medals, Plaques, Trophies, etc.","SKY,LLC DBA/US-OFFICE SOLUTION",16-Jan-15,PO514303,129.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"0378420:BALLOONS, LATEX","SKY,LLC DBA/US-OFFICE SOLUTION",4-Dec-14,PO511941,13.72
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247400:Special Education,RIVERSIDE PUBLISHING,28-Jan-15,PO514015-V2,"2,376.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1250532:ADHESIVE, PADDING, FOR USE ON RECYCLED CARBONLESS PAPER",J W PEPPER & SON INC,10-Nov-14,PO510013,27.8
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1924640:ICE MELT COMPOUND (CALCIUM CHLORIDE), FOR CONCRETE WALKWAYS",General Merchandise Supplies,24-Nov-14,PO511199,"1,195.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9833850:MOPS, PARTS, AND ACCESSORY RENTALS, WET",General Merchandise Supplies,5-Nov-14,PO509388,39.92
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),APPLE COMPUTER INC,29-Dec-14,PO513514,69.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9983800:Engineering Equipment and Supplies (Including Survey Equipment and Instruments),DIVERSIFIED EDUCATIONAL SYSTEM,24-Dec-14,PO513374,"1,601.68"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9983800:Engineering Equipment and Supplies (Including Survey Equipment and Instruments),DIVERSIFIED EDUCATIONAL SYSTEM,24-Dec-14,PO513374,"3,429.11"
DEPARTMENT OF HUMAN SERVICES,9183200:Consulting Services (Not Otherwise Classified),"NEW LIGHT TECHNOLOGIES, INC.",23-Oct-14,PO470074-V2,"51,795.84"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),TRIARCO ARTS & CRAFTS LLC,13-Feb-15,PO515649,20
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,13.31
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER","SCHOLASTIC, INC.",19-Nov-14,PO510751,3.74
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",PRESENTATION SYSTEMS SOUTH,5-Dec-14,PO512147,99.95
OFFICE ON LATINO AFFAIRS,9625800:Professional Services (Not Otherwise Classified),"DC Doors, Inc.",2-Mar-15,PO516307,"10,000.00"
EQUIPMENT LEASE - CAPITAL,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",6-Feb-15,PO512450-V2,"51,030.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,"6004721:COPY MACHINE PARTS AND ACCESSORIES, XEROX (XEROX OR EQUAL)",SHARP ELECTRONICS CORPORATION,24-Oct-14,PO487786-V2,838.34
DEPARTMENT OF GENERAL SERVICES,9904600:Guard and Security Services,ALLIED BARTON SECURITY SERVICE,15-Oct-14,PO496337-V7,"57,793.00"
DEPARTMENT OF GENERAL SERVICES,9063800:General Construction - Architectural,"Plenary Enterprises, LLC",20-Nov-14,PO510953,50
DISTRICT DEPARTMENT OF THE ENVIRONMENT,"1751710:CYLINDERS, LABORATORY",Air Liquide Amer Spec Gas LLC,18-Nov-14,PO509255,"4,075.37"
DEPARTMENT OF PUBLIC WORKS,9202300:Data Recovery Services,IRON MOUNTAIN,8-Dec-14,PO512193,"3,197.40"
DEPARTMENT OF PUBLIC WORKS,"9242500:For Credit Classes, Seminars, Workshops, etc.",VILLANOVA UNIVERSITY,13-Jan-15,PO514079,"6,706.03"
LOTTERY & CHARITABLE GAMES CONTROL BOARD,9667600:Print-On-Demand Printing Services (Including Print and Distribute Services),Pollard Banknote Limited,25-Nov-14,PO511263,"249,000.00"
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,NEAL R GROSS & CO INC,8-Oct-14,PO497993-V2,0
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,Capital Reporting Company,6-Oct-14,PO496167-V5,0
OFFICE OF THE ATTORNEY GENERAL,9612458:PROFESSIONAL COURT REPORTER SERVICES,SUPERIOR COURT OF DC,17-Nov-14,PO510496,7.2
D.C. NATIONAL GUARD,"9242500:For Credit Classes, Seminars, Workshops, etc.",MFRI,8-Dec-14,PO503785-V2,"1,419.00"
D.C. NATIONAL GUARD,9758600:Truck and Van Rental or Lease,GENERAL SERVICE ADMINISTRATION,4-Dec-14,PO511977,"26,500.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",4-Dec-14,PO505551-V2,"76,043.55"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","MVS, Inc.",18-Nov-14,PO510711,"6,856.74"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2084423:SOFTWARE, MICROCOMPUTER, ELECTRONIC MAIL (E-MAIL), IBM COMPATIBLE, LATEST RELEASE OR VERSION LISTED","The Pittman Group, Inc DBA VANTIX",10-Oct-14,PO507036,"144,400.00"
DEPARTMENT OF BEHAVIORAL HEALTH,"6406066:PLATES AND BOWLS, RIGID PLASTIC, WHITE OPAGUE, FDA APPROVED",District Supply Inc.,22-Jan-15,PO514485,"1,708.32"
DEPARTMENT OF BEHAVIORAL HEALTH,9812464:RENTAL OF RECYCLING COLLECTION EQUIPMENT AND CONTAINERS,"21st Century Security, LLC",4-Mar-15,PO507670-V2,731.25
DEPARTMENT OF BEHAVIORAL HEALTH,9614813:LABORATORY ANALYSIS AND TESTING OF BACTERIOLOGICALS,B & W STAT LABORATORY,4-Mar-15,PO505948-V2,630
DEPARTMENT OF BEHAVIORAL HEALTH,"9313051:MAINTENANCE AND SERVICE ON MICROWAVE OVENS, COMMERCIAL TYPE",ELECTRIC MOTOR REPAIR COMPANY,19-Nov-14,PO510855,"15,000.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9183800:Education and Training Consulting,CONSUMER ACTION NETWORK,1-Oct-14,PO505806,"28,479.60"
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",Total Quality Residential Serv,22-Dec-14,PO509610-V2,"76,229.82"
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME","A.W. Holdings, LLC",1-Dec-14,PO508222-V2,"100,000.00"
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME","INTEGRATED COMMUNITY SERVICES,",4-Feb-15,PO505918-V3,"6,549.48"
DEPARTMENT OF TRANSPORTATION,9189600:Transportation Consulting,"CH2M HILL, D.C., P.C.",12-Feb-15,PO515585,"30,123.10"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",THOMAS CIRCLE SINGERS,31-Oct-14,PO508984,"13,000.00"
FIRE AND EMERGENCY MEDICAL SERVICES,9986700:Medical and Dental Equipment and Supplies,THE HAMILTON GROUP,2-Dec-14,PO511759,"10,650.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9155848:LABELING AND MAILING SERVICES, INCLUDING AFFIXING LABELS TO SELF-MAILERS OR ENVELOPES AND MAILING (LABELS AND ENVELOPES TO BE FURNISHED BY THE AGENCY/DEPT.) COST OF POSTAGE TO BE PAID DIRECT TO THE POST OFFICE BY AGENCY",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,13-Jan-15,PO514000,"2,963.80"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",S&S WORLDWIDE INC.,23-Jan-15,PO514549,63.96
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2008830:COATS, CRUISER, MEN'S AND WOMEN'S, 100% WOOL, 4 POCKET, CAPED FRONT, FULL DOUBLE BACK CAPE POCKET, W/SHOULDER INSIGNIA",MORGANS INC,13-Feb-15,PO515691,371
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),"SYMPHONY DIAGNOSTIC SVCS NO.1,",30-Jan-15,PO514910,"23,800.00"
DEPARTMENT OF CORRECTIONS,9185200:Food Service Consulting,ARAMARK CORRECTIONAL SERVICES,8-Dec-14,PO507991-V2,"10,248.00"
DEPARTMENT OF CORRECTIONS,"6801229:CASES, HANDCUFF, ACCOMODATES REGULAR, SECURITY AND HINGED HANDCUFFS",THE HAMILTON GROUP,2-Mar-15,PO516288,"4,400.00"
DEPUTY MAYOR FOR EDUCATION,9625800:Professional Services (Not Otherwise Classified),ASPEN OF DC,26-Nov-14,PO511470,"100,000.00"
DEPARTMENT OF HEALTH,"2045500:Microcomputers, Multi-Processor",Dupont Computers,4-Feb-15,PO515137,"1,644.00"
DEPARTMENT OF HEALTH,"6800226:CARD READER SYSTEM, ELECTRONIC, AND PARTS AND ACCESSORIES","IDENTICARD SYSTEMS, INC.",11-Feb-15,PO513445-V2,"1,526.40"
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME","Keystone Service Systems, Inc",22-Dec-14,PO509457-V2,"257,602.55"
DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",MB STAFFING SERVICES LLC,20-Feb-15,PO515854,"63,762.40"
FIRE AND EMERGENCY MEDICAL SERVICES,"0607455:PARTS AND ACCESSORIES, TRUCK (MISCELLANEOUS)",FIREHOOKS UNLIMITED,16-Dec-14,PO512729,318.75
FIRE AND EMERGENCY MEDICAL SERVICES,"6157365:PAPER, ADDING MACHINE, RECYCLED, LINT FREE, CARBONLESS",DIGI DOCS INC DOCUMENT MGERS,23-Oct-14,PO508263,"20,070.00"
STATE SUPERINTENDENT OF EDUCATION (OSSE),9625800:Professional Services (Not Otherwise Classified),MULTICULTURAL REHAB INC.,23-Oct-14,PO508241,"50,000.00"
DC PUBLIC LIBRARY,TAINLESS STEEL CHAIN,"KIMBALL INTERNATIONAL, INC",26-Jan-15,PO514585,46.64
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,2325000:Liquid Embroidery and Fabric Painting Supplies,SCHOOL SPECIALTY,12-Feb-15,PO515560,14.46
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151520:BOOKS, FIGURING AND MULTICOLUMN, CLOTH COVERED STIFF COVERS, IMIT. LEATHER BACKS AND CORNERS, LEDGER PAPER",DEMCO INC,25-Nov-14,PO511258,163
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4851110:CLEANER AND DETERGENT, PASTE (SOFT VEGETABLE SOAP)",METROPOLITAN OFFICE PRODUCTS,7-Oct-14,PO506477,39.95
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"0400100:Amphibia (Frogs, Toads, Salamanders and other Cold Bloodied Vertebrates) Live",CAROLINA BIOLOGICAL SUPPLY COM,25-Feb-15,PO516096,175
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9980800:Arts and Crafts,SCHOOL SPECIALTY,12-Feb-15,PO515560,10.39
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9980800:Arts and Crafts,SCHOOL SPECIALTY,12-Feb-15,PO515560,33.34
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9246031:CLASSES, SEMINARS AND WORKSHOPS (NOT FOR CREDIT)",NAVIANCE INC.,16-Oct-14,PO507439,"1,266.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247600:Student Activities Services,"Educational Tours, Inc",9-Mar-15,PO516060-V2,0
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247100:School Operation and Management Services,WILLIAMSPORT BARBER SUPPLY,12-Feb-15,PO515568,67.5
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1751591:WIPES, DISPOSABLE, TISSUE PAPER, ANTI-STATIC, LOW LINT, FOR CLEAN ROOMS",SCHOOL SPECIALTY,13-Feb-15,PO515655,36.88
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9986700:Medical and Dental Equipment and Supplies,PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,3-Feb-15,PO515007,59.38
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9617800:Travel Agency Services,MIZELL TRAVEL AGENCY,16-Jan-15,PO514283,"5,030.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,17.91
OFFICE OF THE CHIEF FINANCIAL OFFICER,9395200:Mailing Machines and Equipment Maintenance and Repair,PITNEY BOWES,23-Oct-14,PO484466-V2,"1,317.73"
DEPARTMENT OF GENERAL SERVICES,9904600:Guard and Security Services,ALLIED BARTON SECURITY SERVICE,15-Oct-14,PO496337-V7,"101,792.00"
OFFICE OF THE CHIEF FINANCIAL OFFICER,"4259456:PARTS AND ACCESSORIES, WORKSTATION",Vertex Business Interiors,19-Dec-14,PO507296-V4,"90,153.14"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9621826:COMPUTER CABLE INSTALLATION,TRAKA USA LLC,12-Nov-14,PO510087,"24,360.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","MVS, Inc.",18-Nov-14,PO510711,"9,913.38"
OFFICE OF THE ATTORNEY GENERAL,"2083939:SOFTWARE, MICROCOMPUTER, DESKTOP PUBLISHING, IBM COMPATIBLE, LATEST RELEASE OR VERSION LISTED",WEST PUBLISHING CORP,25-Feb-15,PO516131,"27,895.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9520500:Alcohol and Drug Detoxification (Incl. Rehabilitation),UNITED PLANNING ORGANIZATION,1-Oct-14,PO505725,"6,986.00"
DEPARTMENT OF BEHAVIORAL HEALTH,"9362500:Electrical Equipment (Except Cable and Wires, and Lighting Fixtures) Maintenance and Repair",RSC ELECTRICAL & MECHANICAL CO,22-Dec-14,PO505629-V3,0
DEPARTMENT OF BEHAVIORAL HEALTH,"3305573:FENCE, SAFETY",MICON CONSTRUCTIONS INC,6-Nov-14,PO509614,"6,500.00"
DEPARTMENT OF CORRECTIONS,"2001083:SWEATPANTS, 50/50, 9 OZ. HEAVYWEIGHT FLEECE, 2 SIDE POCKETS, W/REMOVEABLE DRAWSTRING",AMERICAN SUPPLY COMPANY,3-Nov-14,PO509178,"4,680.00"
DEPARTMENT OF PARKS AND RECREATION,"0373400:Decorations: Christmas, Party, etc.",EMERGENCY 911 SECURITY,21-Nov-14,PO511021,55.16
DEPARTMENT OF CORRECTIONS,9183800:Education and Training Consulting,The Hope Foundation Reentry Network Inc.,24-Feb-15,PO516004,"6,000.00"
DEPARTMENT ON DISABILITY SERVICES,9634800:Membership Dues,NATL ASSOC OF ST DIR OF DEV DI,13-Nov-14,PO510007,"35,000.00"
DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)","Excalibur Legal Staffing, LLC",9-Mar-15,PO516577,"83,200.00"
DEPUTY MAYOR FOR PLANNING AND ECON DEV,"9612800:Economic Development, Domestic and Foreign",THERAPEUTIC SESSIONS CORP,18-Feb-15,PO515751,"85,000.00"
DEPARTMENT OF TRANSPORTATION,"9132700:Construction, Highway and Road",METRO WASH. COUNCIL OF,22-Dec-14,PO513231,"100,000.00"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",ANNA U. EDHOLM DAVIS,14-Nov-14,PO510376,"7,500.00"
FIRE AND EMERGENCY MEDICAL SERVICES,9986700:Medical and Dental Equipment and Supplies,THE HAMILTON GROUP,2-Dec-14,PO511759,"3,880.00"
DC PUBLIC LIBRARY,"2086775:SOFTWARE, MICROCOMPUTER, SUBSCRIPTIONS",DOCUMENT SYSTEMS INC,3-Nov-14,PO509212,"1,900.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2072300:Carts, Computer",Dell Computer Corp.,29-Jan-15,PO514795,"53,061.30"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",BSN SPORTS,24-Dec-14,PO513354,50
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",S&S WORLDWIDE INC.,23-Jan-15,PO514549,102.32
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4756483:TOWELETTES, DISINFECTANT, GERMICIDEL",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,18-Nov-14,PO510713,40.99
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9078300:Testing Services,The Achievement Network,10-Feb-15,PO510732,"33,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9241800:Educational Services, Alternative",AGILE MIND EDUCATIONAL HOLDING,17-Oct-14,PO507610,"110,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",BAKER & TAYLOR INC,13-Jan-15,PO513990,8.7
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1750341:GLOVES, LABORATORY, LATEX, 7 MIL THICK, DISPOSABLE, POWDER FREE, AMBIDEXTEROUS","FLINN SCIENTIFIC, INC",29-Oct-14,PO508813,427.95
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2072300:Carts, Computer",MDM Office Systems DBA Standard Office Supply,20-Oct-14,PO507701,950.28
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9980800:Arts and Crafts,SCHOOL SPECIALTY,12-Feb-15,PO515560,37.26
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",S&S WORLDWIDE INC.,20-Jan-15,PO514371,279.9
D.C HEALTH BENEFIT EXCHANGE AUTHORITY,9620500:Amusement and Entertainment Services (Incl. Performing Arts Professionals),19TH STREET BAPTIST CHRUCH,2-Mar-15,PO511017-V2,0
D.C. NATIONAL GUARD,"PENS, BALL POINT ON ONE END AND A FLUORESCENT YELLOW HIGHLIGHTER WITH SMALL CHISEL NIB ON THE OTHER, HIGHLIGHTER WILL NOT SMEAR PEN INK",Capital Services and Supplies,16-Jan-15,PO514260,36.4
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9392152:MAINTENANCE, MAINFRAME COMPUTER HARDWARE",COPPER RIVER INFORMATION TECH,6-Jan-15,PO513737,"24,380.80"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",7-Oct-14,PO506369,"39,257.60"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"OST, Inc.",5-Dec-14,PO506585-V3,"35,020.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9189500:Telecommunications Consulting,"SAIC, Inc.",8-Oct-14,PO497468-V2,"350,000.00"
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9183000:Computer Network Consulting,"OST, Inc.",1-Oct-14,PO505350,"37,459.20"
DEPARTMENT OF EMPLOYMENT SERVICES,9525900:Human Services (Not Otherwise Classified),"Westlink Career Institute, LLC",19-Feb-15,PO513434-V2,"2,225.00"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),PREFERRED TEMP SERVICES,4-Mar-15,PO505933-V3,"24,187.86"
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),COMMUNITY CONNECTIONS,10-Dec-14,PO505857-V2,"86,310.00"
DEPARTMENT OF CORRECTIONS,"2003258:JUMPSUITS, PATIENT, MEN'S, HOSPITAL",AMERICAN SUPPLY COMPANY,23-Dec-14,PO513304,"1,632.00"
DEPARTMENT OF PARKS AND RECREATION,9625800:Professional Services (Not Otherwise Classified),DELZINA BUNN HARGROVE,8-Oct-14,PO506695,"1,050.00"
DEPARTMENT OF CORRECTIONS,"9855450:MAILING MACHINES, RENTAL OR LEASE",PITNEY BOWES,31-Oct-14,PO509114,408
DEPARTMENT OF HEALTH,9484800:Health Care Services (Not Otherwise Classified),"Greater Washington Urban League, Inc.",1-Oct-14,PO505262,"200,000.00"
DEPARTMENT OF HEALTH,9634800:Membership Dues,FEDERATION-PODIATRIC MED. BDS.,18-Feb-15,PO515760,"1,450.00"
DEPARTMENT ON DISABILITY SERVICES,"9529265:RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",METRO HOMES INCORPORATED,22-Dec-14,PO509862-V2,"799,410.44"
DEPARTMENT ON DISABILITY SERVICES,9625800:Professional Services (Not Otherwise Classified),James F Grim M,1-Oct-14,PO505693,"131,572.48"
COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)","WOMEN IN FILM & VIDEO, INC.",31-Oct-14,PO509000,"20,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",S&S WORLDWIDE INC.,23-Jan-15,PO514549,19.99
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6551522:BATTERIES, CAMERA, BRAND LISTED OR EQUAL","CDW Government, Inc.",18-Dec-14,PO513092,511.48
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9566000:Professional Journal Subscriptions,MICHAEL K MARSHALL,17-Nov-14,PO510529,140
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,LOYOLA COLLEGE IN MARYLAND,6-Nov-14,PO509686,"2,000.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"TOWELS, PAPER, ACCESSORIES",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,28-Oct-14,PO508590,"1,182.96"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9611500:Concessions, Catering, Vending: Mobile and Stationary","HOLDER ENTERPRISES, INC.",25-Feb-15,PO516128,"1,656.23"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9155848:LABELING AND MAILING SERVICES, INCLUDING AFFIXING LABELS TO SELF-MAILERS OR ENVELOPES AND MAILING (LABELS AND ENVELOPES TO BE FURNISHED BY THE AGENCY/DEPT.) COST OF POSTAGE TO BE PAID DIRECT TO THE POST OFFICE BY AGENCY",MDM Office Systems DBA Standard Office Supply,3-Feb-15,PO515013,"1,679.92"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9103957:JANITORIAL/CUSTODIAL SERVICES,General Merchandise Supplies,19-Nov-14,PO510748,"1,425.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,SCHOOL SPECIALTY,20-Feb-15,PO510397-V2,13.58
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,Karen A Beeman,12-Dec-14,PO512642,"7,950.00"
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9628700:Travel, Local (Provided by Third Party)",CAPITOL ENTERTAINMENT,23-Feb-15,PO515983,805
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7158500:Textbooks: Kindergarten thru 5th Grade (Includes Student and Teacher Editions),WILSON LANGUAGE TRAINING CORP.,16-Dec-14,PO512745,978
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",GREENWOOD PUBLISHING GROUP INC,17-Nov-14,PO510500,126
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9611500:Concessions, Catering, Vending: Mobile and Stationary",GREAT AMERICAN CORP,29-Jan-15,PO514793,"1,928.00"
